image_name,batch_label,label_number,label_name,dataset,tain/validation/test
b'cruiser_s_000774.png',data_batch_1,1,automobile,cifar10,train
b'lippizan_s_000359.png',data_batch_1,7,horse,cifar10,train
b'broodmare_s_001741.png',data_batch_1,7,horse,cifar10,train
b'fighter_aircraft_s_000876.png',data_batch_1,0,airplane,cifar10,train
b'amphibious_aircraft_s_000216.png',data_batch_1,0,airplane,cifar10,train
b'leopard_frog_s_000339.png',data_batch_1,6,frog,cifar10,train
b'trucking_rig_s_001315.png',data_batch_1,9,truck,cifar10,train
b'shooting_brake_s_000886.png',data_batch_1,1,automobile,cifar10,train
b'pipit_s_000549.png',data_batch_1,2,bird,cifar10,train
b'ostrich_s_002148.png',data_batch_1,2,bird,cifar10,train
b'trucking_rig_s_001600.png',data_batch_1,9,truck,cifar10,train
b'alauda_arvensis_s_000755.png',data_batch_1,2,bird,cifar10,train
b'rana_temporaria_s_001087.png',data_batch_1,6,frog,cifar10,train
b'bufo_s_000136.png',data_batch_1,6,frog,cifar10,train
b'estate_car_s_000529.png',data_batch_1,1,automobile,cifar10,train
b'aerial_ladder_truck_s_000997.png',data_batch_1,9,truck,cifar10,train
b'toy_spaniel_s_000384.png',data_batch_1,5,dog,cifar10,train
b'amphibious_aircraft_s_001195.png',data_batch_1,0,airplane,cifar10,train
b'fallow_deer_s_001598.png',data_batch_1,4,deer,cifar10,train
b'quarter_horse_s_000414.png',data_batch_1,7,horse,cifar10,train
b'anuran_s_000712.png',data_batch_1,6,frog,cifar10,train
b'arabian_s_001366.png',data_batch_1,7,horse,cifar10,train
b'auto_s_000040.png',data_batch_1,1,automobile,cifar10,train
b'cargo_ship_s_001063.png',data_batch_1,8,ship,cifar10,train
b'motorcar_s_000121.png',data_batch_1,1,automobile,cifar10,train
b'motorcar_s_000305.png',data_batch_1,1,automobile,cifar10,train
b'anthus_pratensis_s_001071.png',data_batch_1,2,bird,cifar10,train
b'cruiser_s_000294.png',data_batch_1,8,ship,cifar10,train
b'wagon_s_000763.png',data_batch_1,1,automobile,cifar10,train
b'alley_cat_s_002579.png',data_batch_1,3,cat,cifar10,train
b'tabby_cat_s_000825.png',data_batch_1,3,cat,cifar10,train
b'spadefoot_s_000051.png',data_batch_1,6,frog,cifar10,train
b'wagtail_s_002075.png',data_batch_1,2,bird,cifar10,train
b'fallow_deer_s_001697.png',data_batch_1,4,deer,cifar10,train
b'garbage_truck_s_000777.png',data_batch_1,9,truck,cifar10,train
b'moving_van_s_000067.png',data_batch_1,9,truck,cifar10,train
b'mongrel_s_000696.png',data_batch_1,5,dog,cifar10,train
b'red_deer_s_000741.png',data_batch_1,4,deer,cifar10,train
b'true_cat_s_001768.png',data_batch_1,3,cat,cifar10,train
b'spadefoot_s_000377.png',data_batch_1,6,frog,cifar10,train
b'lipizzan_s_001233.png',data_batch_1,7,horse,cifar10,train
b'japanese_deer_s_000163.png',data_batch_1,4,deer,cifar10,train
b'toad_s_002436.png',data_batch_1,6,frog,cifar10,train
b'police_boat_s_001421.png',data_batch_1,8,ship,cifar10,train
b'puppy_s_002062.png',data_batch_1,5,dog,cifar10,train
b'lapdog_s_001869.png',data_batch_1,5,dog,cifar10,train
b'elk_s_001196.png',data_batch_1,4,deer,cifar10,train
b'domestic_cat_s_001235.png',data_batch_1,3,cat,cifar10,train
b'car_s_000057.png',data_batch_1,1,automobile,cifar10,train
b'lightship_s_000064.png',data_batch_1,8,ship,cifar10,train
b'fallow_deer_s_001997.png',data_batch_1,4,deer,cifar10,train
b'quarter_horse_s_000022.png',data_batch_1,7,horse,cifar10,train
b'bufo_calamita_s_000566.png',data_batch_1,6,frog,cifar10,train
b'biplane_s_000624.png',data_batch_1,0,airplane,cifar10,train
b'fire_truck_s_001616.png',data_batch_1,9,truck,cifar10,train
b'japanese_spaniel_s_000037.png',data_batch_1,5,dog,cifar10,train
b'ambulance_s_001394.png',data_batch_1,1,automobile,cifar10,train
b'domestic_cat_s_001056.png',data_batch_1,3,cat,cifar10,train
b'tugboat_s_001384.png',data_batch_1,8,ship,cifar10,train
b'emu_s_000072.png',data_batch_1,2,bird,cifar10,train
b'gelding_s_000206.png',data_batch_1,7,horse,cifar10,train
b'puppy_s_000637.png',data_batch_1,5,dog,cifar10,train
b'tabby_cat_s_002607.png',data_batch_1,3,cat,cifar10,train
b'elk_s_001198.png',data_batch_1,4,deer,cifar10,train
b'estate_car_s_001496.png',data_batch_1,1,automobile,cifar10,train
b'peke_s_001338.png',data_batch_1,5,dog,cifar10,train
b'arabian_s_001018.png',data_batch_1,7,horse,cifar10,train
b'fighter_aircraft_s_000538.png',data_batch_1,0,airplane,cifar10,train
b'fallow_deer_s_001164.png',data_batch_1,4,deer,cifar10,train
b'lippizan_s_000390.png',data_batch_1,7,horse,cifar10,train
b'toy_dog_s_000932.png',data_batch_1,5,dog,cifar10,train
b'maltese_s_002151.png',data_batch_1,5,dog,cifar10,train
b'car_s_000002.png',data_batch_1,1,automobile,cifar10,train
b'jumbo_jet_s_000697.png',data_batch_1,0,airplane,cifar10,train
b'dump_truck_s_000008.png',data_batch_1,9,truck,cifar10,train
b'spadefoot_s_000084.png',data_batch_1,6,frog,cifar10,train
b'motortruck_s_000014.png',data_batch_1,9,truck,cifar10,train
b'jetliner_s_001502.png',data_batch_1,0,airplane,cifar10,train
b'tanker_s_000157.png',data_batch_1,8,ship,cifar10,train
b'riding_horse_s_001870.png',data_batch_1,7,horse,cifar10,train
b'cabin_cruiser_s_000096.png',data_batch_1,8,ship,cifar10,train
b'dredger_s_001623.png',data_batch_1,8,ship,cifar10,train
b'pipit_s_001102.png',data_batch_1,2,bird,cifar10,train
b'mongrel_s_002430.png',data_batch_1,5,dog,cifar10,train
b'skylark_s_000150.png',data_batch_1,2,bird,cifar10,train
b'cat_s_001604.png',data_batch_1,3,cat,cifar10,train
b'puppy_s_000211.png',data_batch_1,5,dog,cifar10,train
b'airbus_s_001124.png',data_batch_1,0,airplane,cifar10,train
b'leopard_frog_s_001021.png',data_batch_1,6,frog,cifar10,train
b'wagon_s_001824.png',data_batch_1,1,automobile,cifar10,train
b'garbage_truck_s_000147.png',data_batch_1,9,truck,cifar10,train
b'tabby_s_001354.png',data_batch_1,3,cat,cifar10,train
b'rana_temporaria_s_000295.png',data_batch_1,6,frog,cifar10,train
b'lorry_s_000364.png',data_batch_1,9,truck,cifar10,train
b'estate_car_s_000075.png',data_batch_1,1,automobile,cifar10,train
b'tabby_s_000970.png',data_batch_1,3,cat,cifar10,train
b'fire_engine_s_000985.png',data_batch_1,9,truck,cifar10,train
b'toad_s_000022.png',data_batch_1,6,frog,cifar10,train
b'texas_toad_s_000215.png',data_batch_1,6,frog,cifar10,train
b'broodmare_s_000707.png',data_batch_1,7,horse,cifar10,train
b'car_s_000286.png',data_batch_1,1,automobile,cifar10,train
b'twinjet_s_000565.png',data_batch_1,0,airplane,cifar10,train
b'truck_s_001385.png',data_batch_1,9,truck,cifar10,train
b'toy_dog_s_000752.png',data_batch_1,5,dog,cifar10,train
b'police_boat_s_000092.png',data_batch_1,8,ship,cifar10,train
b'toy_dog_s_001197.png',data_batch_1,5,dog,cifar10,train
b'cassowary_s_002446.png',data_batch_1,2,bird,cifar10,train
b'articulated_lorry_s_000050.png',data_batch_1,9,truck,cifar10,train
b'monoplane_s_000781.png',data_batch_1,0,airplane,cifar10,train
b'lightship_s_000343.png',data_batch_1,8,ship,cifar10,train
b'powerboat_s_001486.png',data_batch_1,8,ship,cifar10,train
b'jumbo_jet_s_000071.png',data_batch_1,0,airplane,cifar10,train
b'bufo_debilis_s_000024.png',data_batch_1,6,frog,cifar10,train
b'transporter_s_000272.png',data_batch_1,9,truck,cifar10,train
b'estate_car_s_000743.png',data_batch_1,1,automobile,cifar10,train
b'motorcar_s_000697.png',data_batch_1,1,automobile,cifar10,train
b'rana_catesbeiana_s_001655.png',data_batch_1,6,frog,cifar10,train
b'tabby_s_000675.png',data_batch_1,3,cat,cifar10,train
b'remount_s_000285.png',data_batch_1,7,horse,cifar10,train
b'rana_catesbeiana_s_001521.png',data_batch_1,6,frog,cifar10,train
b'true_frog_s_000223.png',data_batch_1,6,frog,cifar10,train
b'airliner_s_002304.png',data_batch_1,0,airplane,cifar10,train
b'natterjack_s_000987.png',data_batch_1,6,frog,cifar10,train
b'leptodactylid_s_000082.png',data_batch_1,6,frog,cifar10,train
b'coupe_s_001892.png',data_batch_1,1,automobile,cifar10,train
b'quarter_horse_s_000419.png',data_batch_1,7,horse,cifar10,train
b'car_s_001323.png',data_batch_1,1,automobile,cifar10,train
b'maltese_dog_s_001043.png',data_batch_1,5,dog,cifar10,train
b'boat_s_000543.png',data_batch_1,8,ship,cifar10,train
b'tabby_cat_s_001537.png',data_batch_1,3,cat,cifar10,train
b'rana_catesbeiana_s_001096.png',data_batch_1,6,frog,cifar10,train
b'bufo_bufo_s_000326.png',data_batch_1,6,frog,cifar10,train
b'pilot_boat_s_000646.png',data_batch_1,8,ship,cifar10,train
b'toad_frog_s_001672.png',data_batch_1,6,frog,cifar10,train
b'boat_s_000988.png',data_batch_1,8,ship,cifar10,train
b'deer_s_001383.png',data_batch_1,4,deer,cifar10,train
b'bufo_bufo_s_000261.png',data_batch_1,6,frog,cifar10,train
b'leopard_frog_s_000763.png',data_batch_1,6,frog,cifar10,train
b'coupe_s_002178.png',data_batch_1,1,automobile,cifar10,train
b'cat_s_000663.png',data_batch_1,3,cat,cifar10,train
b'ship_s_000175.png',data_batch_1,8,ship,cifar10,train
b'house_cat_s_001471.png',data_batch_1,3,cat,cifar10,train
b'stag_s_001458.png',data_batch_1,4,deer,cifar10,train
b'station_wagon_s_001337.png',data_batch_1,1,automobile,cifar10,train
b'quarter_horse_s_002201.png',data_batch_1,7,horse,cifar10,train
b'coupe_s_000698.png',data_batch_1,1,automobile,cifar10,train
b'tomcat_s_002553.png',data_batch_1,3,cat,cifar10,train
b'scow_s_001266.png',data_batch_1,8,ship,cifar10,train
b'chihuahua_s_000385.png',data_batch_1,5,dog,cifar10,train
b'convertible_s_001500.png',data_batch_1,1,automobile,cifar10,train
b'convertible_s_000408.png',data_batch_1,1,automobile,cifar10,train
b'odocoileus_hemionus_s_000512.png',data_batch_1,4,deer,cifar10,train
b'jumbo_jet_s_000971.png',data_batch_1,0,airplane,cifar10,train
b'truck_s_000650.png',data_batch_1,9,truck,cifar10,train
b'domestic_cat_s_001288.png',data_batch_1,3,cat,cifar10,train
b'walking_horse_s_000194.png',data_batch_1,7,horse,cifar10,train
b'elk_s_001657.png',data_batch_1,4,deer,cifar10,train
b'tipper_truck_s_000287.png',data_batch_1,9,truck,cifar10,train
b'dumper_s_000648.png',data_batch_1,9,truck,cifar10,train
b'struthio_camelus_s_000225.png',data_batch_1,2,bird,cifar10,train
b'woodland_caribou_s_000803.png',data_batch_1,4,deer,cifar10,train
b'ladder_truck_s_000795.png',data_batch_1,9,truck,cifar10,train
b'pantechnicon_s_000230.png',data_batch_1,9,truck,cifar10,train
b'shooting_brake_s_000229.png',data_batch_1,1,automobile,cifar10,train
b'jetliner_s_001349.png',data_batch_1,0,airplane,cifar10,train
b'toy_dog_s_001280.png',data_batch_1,5,dog,cifar10,train
b'dump_truck_s_002104.png',data_batch_1,9,truck,cifar10,train
b'twinjet_s_001360.png',data_batch_1,0,airplane,cifar10,train
b'tugboat_s_000715.png',data_batch_1,8,ship,cifar10,train
b'passerine_s_000360.png',data_batch_1,2,bird,cifar10,train
b'automobile_s_002337.png',data_batch_1,1,automobile,cifar10,train
b'honey_eater_s_001422.png',data_batch_1,2,bird,cifar10,train
b'attack_aircraft_s_001304.png',data_batch_1,0,airplane,cifar10,train
b'toy_dog_s_000114.png',data_batch_1,5,dog,cifar10,train
b'anuran_s_000550.png',data_batch_1,6,frog,cifar10,train
b'mouser_s_000382.png',data_batch_1,3,cat,cifar10,train
b'sparrow_s_000037.png',data_batch_1,2,bird,cifar10,train
b'stud_mare_s_001038.png',data_batch_1,7,horse,cifar10,train
b'speedboat_s_002588.png',data_batch_1,8,ship,cifar10,train
b'passenger_ship_s_002153.png',data_batch_1,8,ship,cifar10,train
b'bufo_bufo_s_001876.png',data_batch_1,6,frog,cifar10,train
b'biplane_s_000651.png',data_batch_1,0,airplane,cifar10,train
b'gelding_s_001785.png',data_batch_1,7,horse,cifar10,train
b'trucking_rig_s_001598.png',data_batch_1,9,truck,cifar10,train
b'deer_s_000309.png',data_batch_1,4,deer,cifar10,train
b'pekingese_s_001946.png',data_batch_1,5,dog,cifar10,train
b'frog_s_002802.png',data_batch_1,6,frog,cifar10,train
b'cervus_unicolor_s_000290.png',data_batch_1,4,deer,cifar10,train
b'honey_eater_s_000478.png',data_batch_1,2,bird,cifar10,train
b'automobile_s_001152.png',data_batch_1,1,automobile,cifar10,train
b'coupe_s_000846.png',data_batch_1,1,automobile,cifar10,train
b'flying_bird_s_000252.png',data_batch_1,2,bird,cifar10,train
b'automobile_s_002343.png',data_batch_1,1,automobile,cifar10,train
b'japanese_spaniel_s_001162.png',data_batch_1,5,dog,cifar10,train
b'fire_truck_s_000043.png',data_batch_1,9,truck,cifar10,train
b'semi_s_001207.png',data_batch_1,9,truck,cifar10,train
b'fighter_aircraft_s_001840.png',data_batch_1,0,airplane,cifar10,train
b'ship_s_001976.png',data_batch_1,8,ship,cifar10,train
b'caribou_s_001222.png',data_batch_1,4,deer,cifar10,train
b'police_cruiser_s_001347.png',data_batch_1,1,automobile,cifar10,train
b'coupe_s_000042.png',data_batch_1,1,automobile,cifar10,train
b'bufo_bufo_s_000995.png',data_batch_1,6,frog,cifar10,train
b'tabby_s_001148.png',data_batch_1,3,cat,cifar10,train
b'true_cat_s_000476.png',data_batch_1,3,cat,cifar10,train
b'garbage_truck_s_001442.png',data_batch_1,9,truck,cifar10,train
b'fighter_aircraft_s_000385.png',data_batch_1,0,airplane,cifar10,train
b'quarter_horse_s_001602.png',data_batch_1,7,horse,cifar10,train
b'camion_s_000116.png',data_batch_1,9,truck,cifar10,train
b'tennessee_walker_s_000539.png',data_batch_1,7,horse,cifar10,train
b'lipizzan_s_000452.png',data_batch_1,7,horse,cifar10,train
b'trucking_rig_s_001594.png',data_batch_1,9,truck,cifar10,train
b'shooting_brake_s_001611.png',data_batch_1,1,automobile,cifar10,train
b'puppy_s_002096.png',data_batch_1,5,dog,cifar10,train
b'auto_s_000855.png',data_batch_1,1,automobile,cifar10,train
b'bufo_marinus_s_001364.png',data_batch_1,6,frog,cifar10,train
b'natterjack_s_000036.png',data_batch_1,6,frog,cifar10,train
b'pontoon_s_000643.png',data_batch_1,8,ship,cifar10,train
b'stallion_s_001256.png',data_batch_1,7,horse,cifar10,train
b'coupe_s_001863.png',data_batch_1,1,automobile,cifar10,train
b'house_cat_s_000079.png',data_batch_1,3,cat,cifar10,train
b'jetliner_s_000981.png',data_batch_1,0,airplane,cifar10,train
b'felis_catus_s_000853.png',data_batch_1,3,cat,cifar10,train
b'tabby_cat_s_000827.png',data_batch_1,3,cat,cifar10,train
b'struthio_camelus_s_001250.png',data_batch_1,2,bird,cifar10,train
b'fawn_s_001915.png',data_batch_1,4,deer,cifar10,train
b'canis_familiaris_s_001298.png',data_batch_1,5,dog,cifar10,train
b'lipizzan_s_002122.png',data_batch_1,7,horse,cifar10,train
b'toy_spaniel_s_001133.png',data_batch_1,5,dog,cifar10,train
b'dump_truck_s_000029.png',data_batch_1,9,truck,cifar10,train
b'fighter_s_001042.png',data_batch_1,0,airplane,cifar10,train
b'domestic_cat_s_000493.png',data_batch_1,3,cat,cifar10,train
b'cervus_elaphus_s_001764.png',data_batch_1,4,deer,cifar10,train
b'airbus_s_000627.png',data_batch_1,0,airplane,cifar10,train
b'fawn_s_001452.png',data_batch_1,4,deer,cifar10,train
b'fallow_deer_s_000959.png',data_batch_1,4,deer,cifar10,train
b'spadefoot_s_000777.png',data_batch_1,6,frog,cifar10,train
b'seaplane_s_001639.png',data_batch_1,0,airplane,cifar10,train
b'plane_s_001066.png',data_batch_1,0,airplane,cifar10,train
b'bufo_viridis_s_000348.png',data_batch_1,6,frog,cifar10,train
b'crapaud_s_000051.png',data_batch_1,6,frog,cifar10,train
b'seaplane_s_001447.png',data_batch_1,0,airplane,cifar10,train
b'boat_s_000404.png',data_batch_1,8,ship,cifar10,train
b'convertible_s_001242.png',data_batch_1,1,automobile,cifar10,train
b'toad_s_000201.png',data_batch_1,6,frog,cifar10,train
b'finch_s_000494.png',data_batch_1,2,bird,cifar10,train
b'fire_engine_s_001437.png',data_batch_1,9,truck,cifar10,train
b'pipit_s_000226.png',data_batch_1,2,bird,cifar10,train
b'toy_dog_s_000960.png',data_batch_1,5,dog,cifar10,train
b'delivery_truck_s_001121.png',data_batch_1,9,truck,cifar10,train
b'bufo_marinus_s_001506.png',data_batch_1,6,frog,cifar10,train
b'studhorse_s_000010.png',data_batch_1,7,horse,cifar10,train
b'woodland_caribou_s_001003.png',data_batch_1,4,deer,cifar10,train
b'station_wagon_s_000260.png',data_batch_1,1,automobile,cifar10,train
b'pilot_boat_s_000356.png',data_batch_1,8,ship,cifar10,train
b'stud_mare_s_001497.png',data_batch_1,7,horse,cifar10,train
b'tabby_cat_s_001966.png',data_batch_1,3,cat,cifar10,train
b'american_toad_s_000006.png',data_batch_1,6,frog,cifar10,train
b'tipper_s_000010.png',data_batch_1,9,truck,cifar10,train
b'tomcat_s_002230.png',data_batch_1,3,cat,cifar10,train
b'dive_bomber_s_001120.png',data_batch_1,0,airplane,cifar10,train
b'wapiti_s_000802.png',data_batch_1,4,deer,cifar10,train
b'biplane_s_000862.png',data_batch_1,0,airplane,cifar10,train
b'blenheim_spaniel_s_000589.png',data_batch_1,5,dog,cifar10,train
b'shooting_brake_s_001161.png',data_batch_1,1,automobile,cifar10,train
b'jetliner_s_000400.png',data_batch_1,0,airplane,cifar10,train
b'tabby_s_000923.png',data_batch_1,3,cat,cifar10,train
b'alces_alces_s_000361.png',data_batch_1,4,deer,cifar10,train
b'police_boat_s_000002.png',data_batch_1,8,ship,cifar10,train
b'mutt_s_001696.png',data_batch_1,5,dog,cifar10,train
b'cervus_elaphus_s_001695.png',data_batch_1,4,deer,cifar10,train
b'quarter_horse_s_000752.png',data_batch_1,7,horse,cifar10,train
b'accentor_s_000449.png',data_batch_1,2,bird,cifar10,train
b'tabby_cat_s_000144.png',data_batch_1,3,cat,cifar10,train
b'fire_engine_s_001513.png',data_batch_1,9,truck,cifar10,train
b'tennessee_walking_horse_s_001187.png',data_batch_1,7,horse,cifar10,train
b'bufo_s_001247.png',data_batch_1,6,frog,cifar10,train
b'arabian_s_002147.png',data_batch_1,7,horse,cifar10,train
b'compact_s_001258.png',data_batch_1,1,automobile,cifar10,train
b'elk_s_002339.png',data_batch_1,4,deer,cifar10,train
b'stud_mare_s_001384.png',data_batch_1,7,horse,cifar10,train
b'fighter_aircraft_s_000745.png',data_batch_1,0,airplane,cifar10,train
b'police_cruiser_s_001047.png',data_batch_1,1,automobile,cifar10,train
b'lipizzan_s_001764.png',data_batch_1,7,horse,cifar10,train
b'cat_s_000331.png',data_batch_1,3,cat,cifar10,train
b'taxi_s_000701.png',data_batch_1,1,automobile,cifar10,train
b'boat_s_000432.png',data_batch_1,8,ship,cifar10,train
b'japanese_deer_s_000942.png',data_batch_1,4,deer,cifar10,train
b'sambar_s_000076.png',data_batch_1,4,deer,cifar10,train
b'ostrich_s_001559.png',data_batch_1,2,bird,cifar10,train
b'dive_bomber_s_000185.png',data_batch_1,0,airplane,cifar10,train
b'lark_s_001532.png',data_batch_1,2,bird,cifar10,train
b'flightless_bird_s_000480.png',data_batch_1,2,bird,cifar10,train
b'stealth_fighter_s_001312.png',data_batch_1,0,airplane,cifar10,train
b'jumbojet_s_000789.png',data_batch_1,0,airplane,cifar10,train
b'delivery_truck_s_000510.png',data_batch_1,9,truck,cifar10,train
b'biplane_s_001901.png',data_batch_1,0,airplane,cifar10,train
b'lorry_s_001185.png',data_batch_1,9,truck,cifar10,train
b'crapaud_s_000511.png',data_batch_1,6,frog,cifar10,train
b'boat_s_001280.png',data_batch_1,8,ship,cifar10,train
b'bird_s_001357.png',data_batch_1,2,bird,cifar10,train
